date,entry_rate,pred_low,pred_high,pred_most_likely,actual_low,actual_high,actual_close,result,overlap_pct,regime,confidence,tpv_impact_inr,rate_vs_alltime_pct,momentum,volatility
2026-01-02,89.9619,89.7049,90.1984,89.9546,90.007,90.233,90.233,YELLOW,84.69999694824219,range_bound,0.4,-328911,0.9982,0,0.0031
2026-01-05,90.007,89.7524,90.2424,89.9995,90.1661,90.233,90.1661,GREEN,100.0,range_bound,0.35,89077,0.9982,2,0.0029
2026-01-06,90.233,89.9796,90.4679,90.2256,89.8644,90.1661,89.8644,YELLOW,61.79999923706055,range_bound,0.35,0,0.9988,3,0.0029
2026-01-07,90.1661,89.914,90.4012,90.1595,89.8644,89.9054,89.9054,RED,0.0,range_bound,0.35,-471333,0.9986,1,0.0026
2026-01-08,89.8644,89.6138,90.0997,89.8585,89.9054,90.236,90.236,YELLOW,58.79999923706055,range_bound,0.35,-1294697,0.997,0,0.0027
2026-01-09,89.9054,89.6563,90.1408,89.9002,90.1327,90.236,90.1327,YELLOW,7.800000190734863,range_bound,0.35,-904469,0.9971,1,0.0027
2026-01-12,90.236,89.9917,90.4716,90.2327,90.1327,90.273,90.273,GREEN,100.0,range_bound,0.35,1886417,0.9988,1,0.0022
2026-01-13,90.1327,89.89,90.3686,90.1304,90.1832,90.273,90.1832,GREEN,100.0,range_bound,0.35,908382,0.9983,1,0.0022
2026-01-14,90.273,90.0315,90.5095,90.2718,90.1832,90.3616,90.3616,GREEN,100.0,range_bound,0.35,1404938,0.9995,1,0.0022
2026-01-15,90.1832,89.9426,90.4201,90.1829,90.3616,90.9045,90.9045,YELLOW,10.800000190734863,range_bound,0.35,-4601562,0.9985,0,0.0017
2026-01-16,90.3616,90.1219,90.599,90.3621,90.9045,91.1184,91.1184,RED,0.0,range_bound,0.35,-4934677,0.9995,1,0.0017
2026-01-20,90.9045,90.6664,91.1437,90.9078,91.1184,91.5369,91.5369,YELLOW,6.0,range_bound,0.35,-3735436,0.9999,3,0.0017
2026-01-21,91.1184,90.8804,91.3583,91.1227,91.5369,91.5583,91.5583,RED,0.0,range_bound,0.35,-1899609,1.0,3,0.0018
2026-01-22,91.5369,91.2988,91.7774,91.5419,91.5583,91.7131,91.7131,GREEN,100.0,trending_up,0.45,611000,1.0,4,0.0019
2026-01-23,91.5583,91.3201,91.7995,91.5642,91.5343,91.7131,91.5343,GREEN,100.0,trending_up,0.45,820682,1.0,5,0.0019
2026-01-27,91.7131,91.4725,91.9561,91.72,91.5343,92.0408,92.0408,YELLOW,83.30000305175781,trending_up,0.45,-804302,1.0,1,0.0019
2026-01-28,91.5343,91.2922,91.7774,91.5405,91.7819,92.0408,91.7819,RED,0.0,trending_up,0.45,-2502636,0.9994,-1,0.0018
2026-01-29,92.0408,91.7968,92.2838,92.0461,91.687,91.7819,91.687,RED,0.0,trending_up,0.45,-1043484,1.0,0,0.0021
2026-01-30,91.7819,91.536,92.0248,91.7861,90.2456,91.687,90.2456,YELLOW,10.5,trending_up,0.45,0,0.9999,-1,0.0022
2026-02-02,91.687,91.4342,91.929,91.6874,90.2456,90.4229,90.4229,RED,0.0,trending_up,0.45,-11291252,0.9994,-1,0.0021
2026-02-03,90.2456,89.9906,90.4872,90.2446,90.125,90.4229,90.125,GREEN,100.0,high_vol,0.35,610638,0.9966,-3,0.0043
2026-02-04,90.4229,90.1656,90.6642,90.4206,90.125,90.3148,90.3148,YELLOW,78.5999984741211,high_vol,0.35,0,0.9979,-1,0.0043
2026-02-05,90.125,89.8674,90.3668,90.1231,90.3148,90.588,90.588,YELLOW,19.0,high_vol,0.35,-2101608,0.9955,-2,0.0043
2026-02-06,90.3148,90.0555,90.5564,90.3119,90.588,90.8228,90.8228,RED,0.0,high_vol,0.35,-2530903,0.9973,-1,0.0044
2026-02-09,90.588,90.3228,90.8298,90.5832,90.5879,90.8228,90.5879,GREEN,100.0,range_bound,0.35,66391,0.998,1,0.0043
2026-02-10,90.8228,90.5563,91.0648,90.8179,90.5879,90.7357,90.7357,GREEN,100.0,range_bound,0.35,3126102,0.9982,3,0.0043
2026-02-11,90.5879,90.3205,90.8302,90.5832,90.5641,90.7357,90.5641,GREEN,100.0,range_bound,0.35,897366,0.9977,1,0.0042
2026-02-12,90.7357,90.4672,90.9783,90.7313,90.5641,90.783,90.783,GREEN,100.0,range_bound,0.35,1855396,0.998,2,0.0042
2026-02-13,90.5641,90.2949,90.807,90.5598,90.6262,90.783,90.6262,GREEN,100.0,range_bound,0.35,227585,0.9974,1,0.0042
2026-02-17,90.783,90.5134,91.0256,90.7787,90.6262,90.7935,90.7935,GREEN,100.0,trending_down,0.45,2205326,0.9981,1,0.0042
