date,entry_rate,pred_low,pred_high,pred_close,actual_low,actual_high,actual_close,result,overlap_pct,regime,tpv_impact,pred_range_paise,actual_range_paise,v1_result,v1_overlap,v1_pred_low,v1_pred_high,change
2026-01-02,89.9619,89.7183,90.2961,89.9558,90.007,90.233,90.233,GREEN,100.0,range_bound,599258,57.8,22.6,YELLOW,84.69999694824219,89.7049,90.1984,BETTER
2026-01-05,90.007,89.7639,90.3438,90.0027,90.1661,90.233,90.1661,GREEN,100.0,range_bound,1052471,58.0,6.7,GREEN,100.0,89.7524,90.2424,same
2026-01-06,90.233,89.9901,90.5713,90.2293,89.8644,90.1661,89.8644,YELLOW,58.29999923706055,range_bound,0,58.1,30.2,YELLOW,61.79999923706055,89.9796,90.4679,worse
2026-01-07,90.1661,89.9236,90.5047,90.1626,89.8644,89.9054,89.9054,RED,0.0,range_bound,-562439,58.1,4.1,RED,0.0,89.914,90.4012,same
2026-01-08,89.8644,89.6226,90.2029,89.861,89.9054,90.236,90.236,YELLOW,90.0,range_bound,-314415,58.0,33.1,YELLOW,58.79999923706055,89.6138,90.0997,better
2026-01-09,89.9054,89.664,90.2443,89.9023,90.1327,90.236,90.1327,GREEN,100.0,range_bound,79075,58.0,10.3,YELLOW,7.800000190734863,89.6563,90.1408,BETTER
2026-01-12,90.236,89.995,90.5749,90.2338,90.1327,90.273,90.273,GREEN,100.0,range_bound,2868004,58.0,14.0,GREEN,100.0,89.9917,90.4716,same
2026-01-13,90.1327,89.892,90.4723,90.1307,90.1832,90.273,90.1832,GREEN,100.0,range_bound,1893230,58.0,9.0,GREEN,100.0,89.89,90.3686,same
2026-01-14,90.273,90.0325,90.6133,90.271,90.1832,90.3616,90.3616,GREEN,100.0,range_bound,2390728,58.1,17.8,GREEN,100.0,90.0315,90.5095,same
2026-01-15,90.1832,89.943,90.5235,90.181,90.3616,90.9045,90.9045,YELLOW,29.799999237060547,range_bound,-3619541,58.1,54.3,YELLOW,10.800000190734863,89.9426,90.4201,better
2026-01-16,90.3616,90.1215,90.7023,90.3592,90.9045,91.1184,91.1184,RED,0.0,range_bound,-3952946,58.1,21.4,RED,0.0,90.1219,90.599,same
2026-01-20,90.9045,90.6641,91.2465,90.9008,91.1184,91.5369,91.5369,YELLOW,30.600000381469727,range_bound,-2758995,58.2,41.9,YELLOW,6.0,90.6664,91.1437,better
2026-01-21,91.1184,90.8782,91.4612,91.1139,91.5369,91.5583,91.5583,RED,0.0,range_bound,-922661,58.3,2.1,RED,0.0,90.8804,91.3583,same
2026-01-22,91.5369,91.2966,91.8805,91.5318,91.5583,91.7131,91.7131,GREEN,100.0,trending_up,1590630,58.4,15.5,GREEN,100.0,91.2988,91.7774,same
2026-01-23,91.5583,91.3181,91.9031,91.5527,91.5343,91.7131,91.5343,GREEN,100.0,trending_up,1804733,58.5,17.9,GREEN,100.0,91.3201,91.7995,same
2026-01-27,91.7131,91.4714,92.0572,91.7072,91.5343,92.0408,92.0408,GREEN,100.0,trending_up,156265,58.6,50.7,YELLOW,83.30000305175781,91.4725,91.9561,BETTER
2026-01-28,91.5343,91.2914,91.8775,91.5286,91.7819,92.0408,91.7819,YELLOW,36.900001525878906,trending_up,-1551418,58.6,25.9,RED,0.0,91.2922,91.7774,BETTER
2026-01-29,92.0408,91.7959,92.3841,92.0358,91.687,91.7819,91.687,RED,0.0,trending_up,-1034714,58.8,9.5,RED,0.0,91.7968,92.2838,same
2026-01-30,91.7819,91.5354,92.1247,91.7773,90.2456,91.687,90.2456,YELLOW,10.5,trending_up,0,58.9,144.1,YELLOW,10.5,91.536,92.0248,same
2026-02-02,91.687,91.4358,92.0292,91.683,90.2456,90.4229,90.4229,RED,0.0,trending_up,-11306763,59.3,17.7,RED,0.0,91.4342,91.929,same
2026-02-03,90.2456,89.9939,90.5861,90.2409,90.125,90.4229,90.125,GREEN,100.0,high_vol,1550621,59.2,29.8,GREEN,100.0,89.9906,90.4872,same
2026-02-04,90.4229,90.17,90.7636,90.4189,90.125,90.3148,90.3148,YELLOW,76.30000305175781,high_vol,0,59.4,19.0,YELLOW,78.5999984741211,90.1656,90.6642,worse
2026-02-05,90.125,89.8757,90.47,90.1252,90.3148,90.588,90.588,YELLOW,56.79999923706055,high_vol,-1121471,59.4,27.3,YELLOW,19.0,89.8674,90.3668,better
2026-02-06,90.3148,90.0632,90.6553,90.3137,90.588,90.8228,90.8228,YELLOW,28.600000381469727,high_vol,-1591644,59.2,23.5,RED,0.0,90.0555,90.5564,BETTER
2026-02-09,90.588,90.3356,90.9307,90.5865,90.5879,90.8228,90.5879,GREEN,100.0,range_bound,1025002,59.5,23.5,GREEN,100.0,90.3228,90.8298,same
2026-02-10,90.8228,90.571,91.1672,90.8215,90.5879,90.7357,90.7357,GREEN,100.0,range_bound,4098919,59.6,14.8,GREEN,100.0,90.5563,91.0648,same
2026-02-11,90.5879,90.3376,90.9325,90.5862,90.5641,90.7357,90.5641,GREEN,100.0,range_bound,1869675,59.5,17.2,GREEN,100.0,90.3205,90.8302,same
2026-02-12,90.7357,90.486,91.0806,90.7338,90.5641,90.783,90.783,GREEN,100.0,range_bound,2827706,59.5,21.9,GREEN,100.0,90.4672,90.9783,same
2026-02-13,90.5641,90.3153,90.9089,90.5619,90.6262,90.783,90.6262,GREEN,100.0,range_bound,1196198,59.4,15.7,GREEN,100.0,90.2949,90.807,same
2026-02-17,90.783,90.5361,91.1252,90.7787,90.6262,90.7935,90.7935,GREEN,100.0,trending_down,3151615,58.9,16.7,GREEN,100.0,90.5134,91.0256,same
