feature,gain
is_rbi_week,8.410243034362793
is_friday,7.507765293121338
days_to_next_rbi,2.5461463928222656
volatility_20d,2.52577805519104
dxy_vs_7d_avg,2.1794204711914062
day_of_week,2.123958110809326
dxy_change_1d,1.921075463294983
rate_vs_30d_avg,1.877645492553711
rate_change_3d,1.7557092905044556
vix_level,1.7121198177337646
macd_histogram,1.6901655197143555
rsi_14,1.6819632053375244
days_to_next_fed,1.6714446544647217
yield_spread_proxy,1.6023021936416626
oil_vs_30d_avg,1.589897871017456
rate_vs_7d_avg,1.5822315216064453
volatility_5d,1.571554183959961
vix_change_1d,1.5384619235992432
days_to_month_end,1.5003690719604492
us10y_level,1.49187171459198
bb_position,1.4295868873596191
oil_dxy_divergence,1.368420958518982
is_monday,1.3513596057891846
rate_change_5d,1.326511025428772
rate_change_1d,1.2599194049835205
oil_change_1d,1.2503515481948853
high_vol_regime,1.2036850452423096
rate_acceleration,1.0945062637329102
us10y_change_1d,0.9892945885658264
is_month_start,0.9750553369522095
is_month_end,0.8080470561981201
