feature,importance
is_friday,0.16767788
day_of_week,0.041020904
us10y_level,0.032896183
vix_change_1d,0.027691055
dxy_change_1d,0.025527144
yield_spread_proxy,0.023023456
volatility_20d,0.022404404
is_trending_up,0.022145765
dxy_vs_7d_avg,0.02196815
rate_change_3d,0.020335281
rate_vs_7d_avg,0.019980296
rate_vs_52w_low,0.019969909
days_to_next_fed,0.019930277
is_monday,0.018571401
rate_vs_5y_avg,0.018484589
regime_range_bound,0.018357014
rate_vs_alltime_percentile,0.018064186
days_to_next_rbi,0.017766124
is_decade_high,0.017706959
days_to_month_end,0.017410241
long_term_trend_1y,0.017320307
vix_level,0.017271781
trend_strength,0.017141666
rate_change_5d,0.016949112
rate_trend_90d,0.016926512
regime_high_vol,0.016885137
volatility_5d,0.01676763
is_month_end,0.01616914
rate_vs_52w_high,0.016002018
is_trending_down,0.015973276
rate_vs_30d_avg,0.015784075
oil_vs_30d_avg,0.015271575
regime_trending_down,0.015223095
momentum_7d,0.015203496
rate_trend_30d,0.015015956
macd_histogram,0.014915727
rate_percentile_1y,0.014672021
rate_change_1d,0.0146667445
rsi_14,0.0146326795
momentum_consistency,0.014351755
bb_position,0.014120124
high_vol_regime,0.0140899
is_month_start,0.0136785945
us10y_change_1d,0.01340954
oil_dxy_divergence,0.013012459
oil_change_1d,0.012259651
rate_acceleration,0.011354778
regime_trending_up,0.0
is_fed_week,0.0
is_rbi_week,0.0
